FID,IID,SOL,C1,C2,C3,C4
CHB,29,0,0.0931625,0.0661119,-0.0045552,0.00163314
CHB,30,0,0.0944157,0.0696932,-0.00542595,0.0012949
CHB,31,0,0.0935298,0.0719543,-0.00770015,0.000155473
CHB,32,0,0.0935313,0.0723316,-0.00452751,0.00221406
CHB,33,0,0.0932968,0.0695423,-0.00313937,0.000484408
CHB,34,0,0.0943754,0.0698501,-0.00812855,0.000982365
CHB,35,0,0.0941288,0.0710979,-0.00628723,0.00174925
CHB,36,0,0.0940689,0.0710509,-0.00687505,0.000283901
CHB,37,0,0.0939301,0.0740286,-0.0050421,0.000612844
CHB,38,0,0.0933355,0.0715975,-0.00762887,0.00267863
CHB,39,0,0.0955338,0.0695948,-0.00835105,0.00108764
CHB,40,0,0.0928385,0.0678213,-0.00647452,0.00105332
CHB,41,0,0.0923157,0.071932,-0.00647774,0.00165126
CHB,42,0,0.0936837,0.0670819,-0.00570161,0.000225565
CHB,43,0,0.0946832,0.0691482,-0.00744912,0.00104111
CHB,44,0,0.0941734,0.0685335,-0.00695105,0.00351386
CHB,45,0,0.0939529,0.0746687,-0.00664725,0.00205309
CHB,46,0,0.095441,0.0704344,-0.00614068,0.00124186
CHB,47,0,0.0936571,0.0722711,-0.00591231,0.00199284
CHB,48,0,0.0957281,0.0714698,-0.0068304,0.00325465
CHB,49,0,0.0948739,0.0689865,-0.00652113,0.00220199
CHB,50,0,0.093073,0.0687341,-0.00695817,-0.000493727
CHB,51,0,0.0944819,0.0725243,-0.00497514,0.00265302
CHB,52,0,0.0934704,0.0666723,-0.00470572,0.00131995
CHB,53,0,0.0955959,0.0709617,-0.00581784,0.000520344
CHB,54,0,0.0934464,0.0700526,-0.00443787,0.00162536
CHB,55,0,0.0936132,0.0698196,-0.0068599,-0.00115622
CHB,56,0,0.0951124,0.0696668,-0.00490125,0.000458496
CHB,57,0,0.0933769,0.0693964,-0.00604516,0.00132587
CHB,58,0,0.0946753,0.0718906,-0.00794557,0.00140202
CHB,59,0,0.0931112,0.0710653,-0.00568157,0.00140238
CHB,60,0,0.0949375,0.0715418,-0.00871862,0.00212004
CHB,61,0,0.0947332,0.0693366,-0.00491965,0.00145056
CHB,62,0,0.0920773,0.0705084,-0.00289047,0.00190904
