FID,IID,SOL,C1,C2,C3,C4
0,C03097,0,-0.0366943,0.0141119,0.00543471,0.000673363
0,6002,0,-0.0453851,0.0146465,0.00985811,0.00209556
0,6003,0,-0.0415217,0.0128933,4.75445e-05,0.00149091
0,6004,0,-0.0330992,0.0159926,0.00413587,-0.00278933
0,6005,0,-0.0374226,0.0144011,0.00714311,0.00122923
0,6006,0,-0.040452,0.0155052,0.00348311,-0.000113512
0,6007,0,-0.0446948,0.0179806,0.00897639,0.00419383
0,6008,0,-0.0381959,0.0140483,0.00224777,-0.000570851
0,6009,0,-0.0334593,0.0164961,0.00203179,0.000816615
0,6010,0,-0.0426736,0.0137621,0.00842974,0.00437292
0,6011,0,-0.0430533,0.0150934,0.00872228,0.00317416
0,6012,0,-0.0446656,0.0138931,0.00816069,0.00146787
0,6013,0,-0.0406872,0.0142755,0.00682324,0.00287545
0,6014,0,-0.0395582,0.0149567,0.00510473,0.0037659
0,6015,0,-0.0371397,0.0157658,0.00430168,0.000366094
0,6016,0,-0.0446634,0.0177567,0.00968033,0.00206349
0,6017,0,-0.0384612,0.0153038,0.003732,0.00123765
0,6018,0,-0.0351653,0.0118875,0.00287142,0.000682447
0,6019,0,-0.0458637,0.015884,0.00892447,0.00433412
0,6020,0,-0.0386405,0.012667,0.00317551,0.000808537
0,6021,0,-0.0442699,0.0157177,0.0093381,0.00584123
0,6022,0,-0.0371257,0.0152288,0.0010947,0.00061035
0,6023,0,-0.0420822,0.0178851,0.00638583,-0.00118397
0,6024,0,-0.0389785,0.0157063,0.00506905,0.00181152
0,6025,0,-0.0373302,0.0137906,0.00233318,-0.000532452
0,6026,0,-0.0455715,0.015996,0.0098086,0.00346395
0,6027,0,-0.0370879,0.0134144,0.000971061,-0.000568252
0,6028,0,-0.0378835,0.0145701,0.00269869,0.00267479
0,6029,0,-0.0388583,0.0152629,0.00538118,0.0010601
0,6030,0,-0.0378685,0.0139201,0.00415995,1.0996e-05
0,6032,0,-0.0408481,0.0141069,0.00338246,0.00241252
0,6033,0,-0.0411453,0.0187897,0.00414242,-0.000159821
0,6034,0,-0.0329728,0.0164379,0.00106014,-0.00105356
0,6035,0,-0.0348173,0.0136615,0.00152719,-0.000568226
0,6036,0,-0.0418352,0.0165458,0.00459949,0.00170784
0,6037,0,-0.0425223,0.0165304,0.0107373,0.00193995
0,6038,0,-0.0427517,0.0164075,0.00815528,0.00147656
0,6039,0,-0.0343703,0.0170856,0.00227338,-0.00129071
0,6040,0,-0.0464579,0.0150427,0.0114717,0.00170573
0,6041,0,-0.0434657,0.0148409,0.00919775,0.00301695
